,Project Duration,Indirect Cost,Crash Cost,Total Cost,Crashed Durations
0,93,93000,100.0,93100.0,"{'A1': 3, 'A2': 4, 'A3': 2, 'A4': 3, 'A5': 4, 'A6': 2, 'A7': 3, 'A8': 4, 'A9': 2, 'A10': 3, 'A11': 5, 'A12': 5, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
1,92,92000,200.0,92200.0,"{'A1': 3, 'A2': 4, 'A3': 2, 'A4': 3, 'A5': 4, 'A6': 2, 'A7': 3, 'A8': 4, 'A9': 2, 'A10': 3, 'A11': 4, 'A12': 5, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
2,91,91000,400.0,91400.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 2, 'A7': 3, 'A8': 4, 'A9': 2, 'A10': 3, 'A11': 4, 'A12': 5, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
3,91,91000,600.0,91600.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 2, 'A10': 3, 'A11': 4, 'A12': 5, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
4,90,90000,800.0,90800.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 5, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
5,89,89000,1000.0,90000.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 4, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
6,88,88000,1200.0,89200.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 7, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
7,88,88000,1450.0,89450.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 6, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
8,88,88000,1700.0,89700.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 8, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
9,87,87000,1950.0,88950.0,"{'A1': 3, 'A2': 4, 'A3': 1, 'A4': 3, 'A5': 4, 'A6': 1, 'A7': 3, 'A8': 4, 'A9': 1, 'A10': 3, 'A11': 4, 'A12': 4, 'A13': 3, 'A14': 5, 'A15': 6, 'A16': 3, 'A17': 4, 'A18': 5, 'A19': 6, 'A20': 3, 'A21': 5, 'A22': 6, 'A23': 5, 'A24': 7, 'A25': 4, 'A26': 5, 'A27': 6, 'A28': 5, 'A29': 8, 'A30': 4, 'A31': 5, 'A32': 6, 'A33': 7, 'A34': 5, 'A35': 4, 'A36': 2, 'A37': 3, 'A38': 2, 'A39': 2, 'A40': 3, 'A41': 4, 'A42': 2, 'A43': 2, 'A44': 4, 'A45': 2, 'A46': 5, 'A47': 2, 'A48': 3, 'A49': 4, 'A50': 5}"
