,ID,Duration,Predecessors,EST,LST,EFT,LFT,Total Float (TF)
0,A1,3,,0,0,3,3,0
1,A2,4,A1,3,3,7,7,0
2,A3,2,A2,7,7,9,9,0
3,A4,3,A3,9,12,12,15,3
4,A5,4,A4,12,15,16,19,3
5,A6,2,A5,16,19,18,21,3
6,A7,3,A6,18,21,21,24,3
7,A8,4,A3,9,9,13,13,0
8,A9,2,A8,13,13,15,15,0
9,A10,3,A9,15,15,18,18,0
10,A11,6,A10,18,18,24,24,0
11,A12,5,"A7,A11",24,24,29,29,0
12,A13,4,"A8,A12",29,29,33,33,0
13,A14,5,"A9,A13",33,33,38,38,0
14,A15,6,A14,38,38,44,44,0
15,A16,3,A11,24,41,27,44,17
16,A17,4,A12,29,49,33,53,20
17,A18,5,"A13,A14",38,46,43,51,8
18,A19,6,A15,44,45,50,51,1
19,A20,3,"A15,A16",44,44,47,47,0
20,A21,5,A16,27,55,32,60,28
21,A22,6,"A17,A18",43,53,49,59,10
22,A23,7,"A18,A19",50,51,57,58,1
23,A24,8,A20,47,47,55,55,0
24,A25,4,A20,47,62,51,66,15
25,A26,5,A21,32,60,37,65,28
26,A27,6,"A22,A23",57,59,63,65,2
27,A28,5,"A23,A24",57,58,62,63,1
28,A29,8,A24,55,55,63,63,0
29,A30,4,"A25,A26",51,66,55,70,15
30,A31,5,A26,37,65,42,70,28
31,A32,6,A27,63,65,69,71,2
32,A33,7,"A28,A29",63,63,70,70,0
33,A34,5,A30,55,74,60,79,19
34,A35,4,"A30,A31",55,70,59,74,15
35,A36,2,A32,69,71,71,73,2
36,A37,3,A33,70,70,73,73,0
37,A38,2,A37,73,83,75,85,10
38,A39,2,A34,60,79,62,81,19
39,A40,3,A35,59,74,62,77,15
40,A41,4,"A36,A37",73,73,77,77,0
41,A42,2,A38,75,85,77,87,10
42,A43,2,A42,77,87,79,89,10
43,A44,4,A39,62,81,66,85,19
44,A45,2,"A40,A41",77,77,79,79,0
45,A46,5,A45,79,79,84,84,0
46,A47,2,A46,84,84,86,86,0
47,A48,3,A47,86,86,89,89,0
48,A49,4,"A44,A45",79,85,83,89,6
49,A50,5,"A43,A48,A49",89,89,94,94,0
