,ID,Duration,Predecessors,Normal Time (NT),Crash Time (CT),Normal Cost (NC),Crash Cost (CC),Resources (units/day),Marginal Cost (MC)
0,A1,3,,3,2,500,800,2,300.0
1,A2,4,A1,4,3,700,1000,3,300.0
2,A3,2,A2,2,1,300,500,4,200.0
3,A4,3,A3,3,2,500,800,5,300.0
4,A5,4,A4,4,3,600,1000,2,400.0
5,A6,2,A5,2,1,400,600,3,200.0
6,A7,3,A6,3,2,500,800,4,300.0
7,A8,4,A3,4,3,700,1000,5,300.0
8,A9,2,A8,2,1,300,500,2,200.0
9,A10,3,A9,3,2,500,800,3,300.0
10,A11,6,A10,6,4,1000,1200,4,100.0
11,A12,5,"A7,A11",5,4,800,1000,5,200.0
12,A13,4,"A8,A12",4,3,600,800,2,200.0
13,A14,5,"A9,A13",5,4,900,1200,3,300.0
14,A15,6,A14,6,5,1100,1500,4,400.0
15,A16,3,A11,3,2,500,800,5,300.0
16,A17,4,A12,4,3,600,900,2,300.0
17,A18,5,"A13,A14",5,4,700,1000,3,300.0
18,A19,6,A15,6,5,800,1200,4,400.0
19,A20,3,"A15,A16",3,2,500,1000,5,500.0
20,A21,5,A16,5,4,800,1200,2,400.0
21,A22,6,"A17,A18",6,4,900,1400,3,250.0
22,A23,7,"A18,A19",7,5,1100,1600,4,250.0
23,A24,8,A20,8,6,1200,1700,5,250.0
24,A25,4,A20,4,3,700,1000,2,300.0
25,A26,5,A21,5,4,800,1200,3,400.0
26,A27,6,"A22,A23",6,5,1000,1400,4,400.0
27,A28,5,"A23,A24",5,4,1200,1600,5,400.0
28,A29,8,A24,8,7,600,1200,2,600.0
29,A30,4,"A25,A26",4,3,800,1400,3,600.0
30,A31,5,A26,5,4,1000,1600,4,600.0
31,A32,6,A27,6,5,1200,1800,5,600.0
32,A33,7,"A28,A29",7,6,700,1300,2,600.0
33,A34,5,A30,5,4,600,1000,3,400.0
34,A35,4,"A30,A31",4,3,400,800,4,400.0
35,A36,2,A32,2,1,500,1000,5,500.0
36,A37,3,A33,3,2,300,700,2,400.0
37,A38,2,A37,2,1,400,800,3,400.0
38,A39,2,A34,2,1,400,800,4,400.0
39,A40,3,A35,3,2,500,1000,5,500.0
40,A41,4,"A36,A37",4,3,600,1100,2,500.0
41,A42,2,A38,2,1,400,800,3,400.0
42,A43,2,A42,2,1,500,1000,4,500.0
43,A44,4,A39,4,3,600,1200,5,600.0
44,A45,2,"A40,A41",2,1,700,1300,2,600.0
45,A46,5,A45,5,4,600,1100,3,500.0
46,A47,2,A46,2,1,800,1200,4,400.0
47,A48,3,A47,3,2,900,1400,5,500.0
48,A49,4,"A44,A45",4,3,1100,1300,2,200.0
49,A50,5,"A43,A48,A49",5,4,600,1400,3,800.0
